no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,dbscan_cluster,dbscan_outlier,gmm_prob_0,gmm_prob_1,gmm_prob_2
2,0,0,2,1,0,0,256,2018,6,15,4,0,0,0,115.0,1,0,3,0,9.019909037315897e-13,0.9999999999990976,0.0
1,0,1,0,0,0,0,0,2017,10,5,3,0,0,0,96.0,0,1,-1,1,4.568413430364236e-13,0.9999999999995417,0.0
2,0,1,3,3,0,0,1,2017,8,10,4,0,0,0,96.0,1,1,-1,1,3.8100535109323174e-16,1.0,0.0
2,0,2,2,0,0,0,99,2017,10,30,4,0,0,0,65.0,0,0,4,0,7.501259490426412e-12,0.9999999999925002,0.0
2,0,1,0,0,0,0,12,2017,10,4,3,0,0,0,72.0,0,1,5,0,2.3926724101395156e-12,0.999999999997609,0.0
2,0,2,2,0,0,0,99,2017,10,30,4,0,0,0,65.0,0,0,4,0,7.501259490426412e-12,0.9999999999925002,0.0
1,0,0,1,0,0,0,122,2018,11,25,2,0,0,0,67.0,0,1,-1,1,2.189458424570505e-12,0.9999999999978115,0.0
2,0,2,4,0,0,0,2,2018,3,20,3,0,0,0,85.0,0,1,-1,1,2.190426587250984e-11,0.999999999978094,0.0
2,0,0,3,0,0,0,37,2018,10,13,3,0,0,0,105.0,0,1,6,0,1.6667935313362618e-11,0.9999999999833307,0.0
2,0,2,1,3,0,0,130,2018,5,22,4,0,0,0,94.5,1,1,-1,1,6.131841464544291e-16,1.0,0.0
2,0,0,2,0,0,0,99,2018,4,28,4,0,0,0,114.3,1,1,-1,1,5.670935004483951e-11,0.9999999999432916,0.0
2,0,1,1,0,0,0,60,2017,9,21,3,0,0,0,65.0,0,1,7,0,1.6247802861182473e-12,0.9999999999983764,0.0
1,0,0,2,0,0,3,2,2018,5,19,0,0,0,0,110.0,0,0,-1,1,1.0,0.0,0.0
1,0,1,2,0,0,0,37,2017,11,6,4,0,0,0,37.33,0,0,-1,1,3.895885174595984e-11,0.9999999999610409,0.0
2,0,0,2,1,0,0,56,2017,9,17,3,0,0,0,82.0,0,1,8,0,5.02521085141912e-13,0.9999999999994991,0.0
2,0,1,1,0,0,3,3,2017,9,19,4,0,0,0,177.5,1,1,-1,1,1.0,0.0,0.0
2,0,2,2,0,0,0,107,2018,11,13,4,0,0,0,87.5,1,1,-1,1,4.4286078214584656e-11,0.9999999999557154,0.0
0,2,0,3,0,0,1,56,2018,12,7,4,0,0,0,82.44,1,1,-1,1,1.0,0.0,0.0
2,0,0,1,3,0,0,2,2018,1,9,4,0,0,0,69.5,1,1,-1,1,7.594699371830072e-16,1.0,0.0
2,0,0,2,0,0,0,72,2018,10,7,3,0,0,0,85.5,0,1,-1,1,1.6913890520729682e-11,0.9999999999830855,0.0
2,0,0,1,3,1,0,23,2018,4,27,4,0,0,0,115.0,1,1,-1,1,1.0,0.0,0.0
1,0,2,1,0,0,0,34,2018,6,19,4,0,0,0,81.0,0,0,-1,1,3.844945850107959e-11,0.999999999961549,0.0
2,0,0,1,0,0,0,289,2017,10,17,3,0,0,0,67.0,0,1,9,0,2.4680237803843598e-15,0.9999999999999964,0.0
2,0,2,3,3,0,0,247,2018,11,19,4,0,0,0,63.75,0,0,-1,1,3.3925721856606946e-16,1.0,0.0
2,0,2,1,0,0,3,186,2018,7,30,4,0,0,0,121.8,1,0,-1,1,1.0,0.0,0.0
2,0,0,4,0,0,0,64,2018,11,1,4,0,0,0,93.6,2,1,-1,1,9.37346863907128e-11,0.9999999999062652,0.0
2,0,0,2,0,0,0,35,2018,6,21,4,0,0,0,102.0,1,1,-1,1,6.26683681591087e-11,0.9999999999373301,0.0
3,0,2,1,0,0,0,96,2018,4,10,4,0,0,0,121.8,1,1,-1,1,3.3843205010621684e-10,0.9999999996615685,0.0
2,0,1,1,3,0,0,41,2018,6,27,4,0,0,0,98.1,1,0,-1,1,6.230324734184769e-16,1.0,0.0
2,0,0,4,0,0,3,55,2017,11,18,3,0,0,0,60.0,1,1,-1,1,1.0,0.0,0.0
2,0,0,3,0,0,0,146,2017,12,29,3,0,0,0,75.0,0,1,10,0,5.917227730897337e-13,0.9999999999994067,0.0
1,0,0,2,0,0,0,32,2017,11,20,3,0,0,0,73.0,0,1,11,0,1.6995850446559292e-12,0.9999999999983018,0.0
2,0,0,1,1,0,0,55,2018,4,6,3,0,0,0,104.0,0,1,12,0,3.587933642330577e-12,0.9999999999964118,0.0
2,0,0,4,3,0,0,57,2018,11,1,4,0,0,0,79.2,1,1,-1,1,4.013171958242986e-16,1.0,0.0
1,0,1,3,0,0,3,7,2018,12,29,4,0,0,0,125.8,2,1,-1,1,1.0,0.0,0.0
1,0,2,5,3,0,0,124,2018,5,30,4,0,0,0,87.95,0,1,-1,1,3.2379749093668436e-15,0.9999999999999964,0.0
2,0,2,2,1,0,0,169,2018,4,22,4,0,0,0,106.0,0,0,-1,1,5.920872469222102e-12,0.9999999999940776,0.0
1,0,1,2,0,0,0,6,2018,5,16,4,0,0,0,136.67,1,1,-1,1,2.658041675351532e-11,0.9999999999734186,0.0
2,0,0,4,0,0,3,51,2017,11,11,3,0,0,0,60.0,1,1,-1,1,1.0,0.0,0.0
2,0,1,0,3,0,0,13,2018,6,13,4,0,0,0,89.0,2,1,-1,1,1.122138608132457e-15,1.0,0.0
2,0,1,3,0,0,0,100,2018,5,19,4,0,0,0,136.0,1,1,13,0,5.644577020347695e-11,0.9999999999435545,0.0
2,0,0,1,3,0,0,139,2018,7,28,4,0,0,0,94.5,1,1,-1,1,7.027051314345204e-16,1.0,0.0
2,0,1,2,0,0,0,117,2018,12,26,4,0,0,0,93.6,2,1,-1,1,1.1432384080022207e-10,0.9999999998856772,0.0
2,0,1,4,0,0,3,39,2018,4,20,4,0,0,0,120.6,0,0,-1,1,1.0,0.0,0.0
2,0,0,3,0,0,3,86,2018,4,6,4,0,0,0,99.3,1,1,-1,1,1.0,0.0,0.0
1,0,0,3,0,0,3,19,2018,5,3,4,0,0,0,120.12,2,1,-1,1,1.0,0.0,0.0
1,0,0,2,0,0,0,192,2018,6,24,3,0,0,0,95.0,0,1,14,0,9.133494242149083e-13,0.999999999999087,0.0
2,0,2,1,0,0,0,86,2018,12,18,3,0,0,0,75.0,0,1,15,0,1.9023171580153153e-11,0.9999999999809752,0.0
2,0,0,3,0,0,3,30,2018,10,5,4,0,0,0,157.5,2,1,-1,1,1.0,0.0,0.0
2,0,0,2,0,0,3,179,2018,6,3,4,0,0,0,97.7,1,1,-1,1,1.0,0.0,0.0
2,0,0,2,0,0,3,26,2018,4,15,4,0,0,0,142.0,0,0,400,0,1.0,0.0,0.0
2,0,0,1,0,0,0,55,2018,4,6,3,0,0,0,80.0,0,1,-1,1,1.343272468075734e-11,0.9999999999865672,0.0
2,0,1,2,0,0,0,74,2018,4,25,4,0,0,0,85.5,1,1,-1,1,5.735924080688342e-11,0.9999999999426414,0.0
2,0,0,3,0,0,0,143,2018,8,25,3,0,0,0,100.0,0,1,16,0,7.735160337594136e-12,0.9999999999922657,0.0
2,0,1,0,3,0,0,34,2018,11,14,4,0,0,0,88.0,2,1,-1,1,5.235423361197844e-16,1.0,0.0
2,0,1,1,0,1,0,30,2018,8,29,4,0,0,0,122.85,1,1,-1,1,1.0,0.0,0.0
2,0,0,2,0,0,0,177,2018,6,3,4,0,0,0,100.0,0,0,17,0,1.746158174396562e-11,0.9999999999825384,0.0
2,0,2,3,0,0,3,34,2017,10,25,3,0,0,0,75.0,0,1,-1,1,1.0,0.0,0.0
2,0,1,4,0,0,3,18,2018,3,9,4,0,0,0,116.8,1,1,-1,1,1.0,0.0,0.0
3,0,1,1,0,0,3,267,2018,12,31,4,0,0,0,121.5,0,1,-1,1,1.0,0.0,0.0
2,0,1,2,0,0,0,64,2018,6,27,4,0,0,0,111.9,1,1,-1,1,6.570221475241084e-11,0.9999999999342961,0.0
3,0,2,5,0,0,3,155,2018,6,28,4,0,0,0,121.55,2,0,-1,1,1.0,0.0,0.0
2,0,0,5,0,0,0,46,2018,3,29,3,0,0,0,75.0,1,1,-1,1,3.007166395475777e-11,0.9999999999699298,0.0
2,2,0,2,0,0,5,83,2018,4,1,4,0,0,0,159.3,0,0,-1,1,1.0,0.0,0.0
2,0,0,5,0,0,3,128,2018,10,11,4,0,0,0,132.3,0,0,-1,1,1.0,0.0,0.0
2,0,2,0,3,0,0,20,2018,12,25,4,0,0,0,88.0,2,1,-1,1,2.5164049084102635e-16,1.0,0.0
2,0,1,4,0,0,3,40,2018,3,14,4,0,0,0,98.82,0,1,-1,1,1.0,0.0,0.0
2,0,1,2,0,1,3,46,2018,3,4,4,0,0,0,98.3,1,1,-1,1,1.0,0.0,0.0
1,0,1,0,0,0,0,1,2018,10,17,4,0,0,0,150.0,2,1,-1,1,3.194114237972419e-11,0.9999999999680576,0.0
2,0,2,3,3,0,0,196,2018,9,4,4,0,0,0,96.05,1,1,-1,1,4.478040255579035e-16,1.0,0.0
1,0,0,2,0,0,0,188,2018,6,15,4,0,0,0,130.0,0,0,18,0,2.5184277994206078e-12,0.9999999999974811,0.0
2,0,0,1,3,0,0,17,2018,12,10,4,1,0,5,95.0,0,1,-1,1,0.0,0.0,1.0
2,0,0,3,0,0,4,146,2018,8,9,3,0,0,0,113.56,0,1,-1,1,1.0,0.0,0.0
2,0,1,3,3,0,0,110,2018,5,5,4,0,0,0,101.58,1,1,-1,1,8.527068352592598e-16,1.0,0.0
2,0,1,2,0,1,0,68,2018,3,18,4,0,0,0,105.3,0,1,-1,1,1.0,0.0,0.0
2,0,2,1,0,0,3,73,2018,4,9,4,0,0,0,115.8,1,1,-1,1,1.0,0.0,0.0
2,0,0,1,0,0,3,92,2018,5,19,4,0,0,0,149.4,1,1,-1,1,1.0,0.0,0.0
2,0,2,5,0,0,0,171,2018,8,30,4,0,0,0,111.59,0,0,-1,1,7.912584478136576e-11,0.999999999920874,0.0
2,1,0,2,0,1,0,134,2018,8,4,4,0,0,0,130.5,2,1,-1,1,1.0,0.0,0.0
2,0,0,4,0,0,0,118,2018,4,13,4,0,0,0,90.95,1,1,-1,1,5.038895125180891e-11,0.9999999999496119,0.0
2,0,0,3,0,0,0,30,2018,11,17,4,0,0,0,76.08,1,1,-1,1,3.004662719668519e-11,0.9999999999699547,0.0
2,2,1,3,0,0,5,30,2018,12,22,4,0,0,0,156.9,0,1,-1,1,1.0,0.0,0.0
2,0,1,0,3,0,0,189,2018,10,23,4,0,0,0,85.5,2,1,-1,1,1.2990127198741448e-15,1.0,0.0
3,0,1,2,0,0,3,55,2018,5,13,4,0,0,0,159.3,2,1,-1,1,1.0,0.0,0.0
1,0,0,4,0,0,0,55,2018,12,13,4,0,0,0,74.8,2,1,-1,1,9.631001625511236e-11,0.9999999999036895,0.0
2,0,0,1,0,0,0,16,2017,10,31,4,0,0,0,95.0,1,1,-1,1,5.891431923801758e-12,0.9999999999941096,0.0
2,0,0,3,0,0,0,24,2017,10,8,4,0,0,0,107.0,1,1,-1,1,2.427132297897239e-12,0.9999999999975735,0.0
2,0,0,3,0,0,0,8,2018,2,16,3,0,0,0,64.0,0,1,-1,1,1.562668997661167e-11,0.9999999999843716,0.0
2,0,1,4,0,1,0,10,2017,11,2,4,0,0,0,82.95,0,1,-1,1,1.0,0.0,0.0
2,0,1,3,0,0,3,0,2017,9,21,4,0,0,0,155.0,1,1,-1,1,1.0,0.0,0.0
2,0,0,1,3,0,0,12,2018,6,30,4,0,0,0,101.68,1,1,-1,1,6.214553485158872e-16,1.0,0.0
2,0,2,1,0,0,0,32,2017,9,5,4,0,0,0,94.5,3,1,-1,1,3.118608401503481e-11,0.9999999999688143,0.0
2,0,0,2,0,0,0,182,2018,9,30,4,0,0,0,117.9,2,0,19,0,9.012994016466008e-11,0.9999999999098712,0.0
2,0,1,0,3,0,0,1,2018,6,27,4,0,0,0,127.0,1,1,-1,1,8.513559899396792e-16,1.0,0.0
2,0,0,3,3,0,0,122,2018,6,16,4,0,0,0,116.1,2,1,-1,1,2.1377960015931268e-15,0.9999999999999964,0.0
2,0,2,3,0,0,0,40,2018,6,30,4,0,0,0,117.9,1,1,-1,1,7.852474423820691e-11,0.9999999999214744,0.0
3,0,2,2,0,1,3,123,2018,8,13,4,0,0,0,155.7,1,1,-1,1,1.0,0.0,0.0
3,0,2,5,0,0,3,40,2018,4,22,4,0,0,0,135.76,0,0,-1,1,1.0,0.0,0.0
2,1,2,5,0,0,0,105,2018,11,12,4,0,0,0,102.83,3,1,-1,1,1.0,0.0,0.0
2,0,2,3,0,0,0,2,2017,11,14,4,0,0,0,103.0,1,1,-1,1,3.3412449160843344e-12,0.9999999999966604,0.0
2,0,0,2,1,0,0,286,2018,9,16,3,0,0,0,58.5,0,1,-1,1,4.483600871938096e-13,0.9999999999995524,0.0
2,0,1,3,0,0,0,68,2018,3,10,4,0,0,0,73.95,0,0,-1,1,5.57750629990372e-11,0.999999999944226,0.0
2,0,0,3,0,0,0,148,2018,5,5,4,0,0,0,105.3,0,1,20,0,2.4626589613073475e-11,0.9999999999753726,0.0
3,0,2,0,0,0,3,68,2018,4,24,4,0,0,0,133.2,2,1,-1,1,1.0,0.0,0.0
2,0,0,2,0,0,0,30,2018,3,30,3,0,0,0,85.5,0,1,-1,1,1.3102414453906971e-11,0.9999999999868976,0.0
1,0,0,1,0,0,0,14,2018,11,3,4,0,0,0,112.0,1,0,-1,1,1.801571104027909e-11,0.9999999999819842,0.0
1,0,2,3,0,0,0,117,2018,6,5,3,0,0,0,110.0,0,1,-1,1,4.974322534774765e-12,0.9999999999950262,0.0
2,0,1,4,0,0,3,85,2018,7,13,4,0,0,0,91.48,1,1,-1,1,1.0,0.0,0.0
2,0,0,2,3,0,0,1,2018,10,20,4,0,0,0,135.0,2,1,-1,1,1.3210182380899402e-15,1.0,0.0
1,0,1,2,0,0,0,25,2018,10,17,4,0,0,0,129.0,2,1,-1,1,4.244718187712035e-11,0.9999999999575522,0.0
2,0,2,4,3,0,0,289,2018,12,28,4,0,0,0,70.55,2,0,-1,1,1.1304791013703318e-15,0.9999999999999982,0.0
2,0,1,4,0,0,3,28,2017,10,19,3,0,0,0,75.0,0,1,-1,1,1.0,0.0,0.0
1,0,0,4,3,0,0,80,2018,3,29,4,0,0,0,72.25,0,1,-1,1,1.9112964715524774e-15,0.9999999999999964,0.0
2,0,0,1,0,0,3,11,2017,10,9,4,0,0,0,155.0,2,1,-1,1,1.0,0.0,0.0
2,1,1,0,0,0,0,162,2018,7,25,4,0,0,0,121.5,2,0,-1,1,1.0,0.0,0.0
2,0,2,5,0,0,0,155,2018,6,28,4,0,0,0,90.95,2,1,-1,1,1.6142848271533659e-10,0.9999999998385718,0.0
1,0,2,2,0,0,0,82,2018,5,22,4,0,0,0,109.65,0,1,-1,1,3.161247944636044e-11,0.999999999968388,0.0
3,0,2,4,0,0,3,27,2018,4,15,4,0,0,0,142.72,0,0,-1,1,1.0,0.0,0.0
1,0,1,2,0,0,0,13,2018,5,9,3,0,0,0,90.0,0,1,-1,1,1.182382313947347e-11,0.9999999999881766,0.0
2,0,0,2,0,0,0,245,2018,6,17,4,0,0,0,75.0,0,0,21,0,1.0805008622582068e-11,0.9999999999891962,0.0
2,0,0,2,0,0,0,11,2018,11,18,4,0,0,0,111.0,1,0,-1,1,3.6552101534215945e-11,0.9999999999634461,0.0
2,0,2,2,0,0,0,266,2018,10,30,4,0,0,0,86.7,2,1,-1,1,4.7247374307823505e-11,0.9999999999527525,0.0
2,0,1,0,0,0,0,39,2018,3,28,4,0,0,0,117.9,1,1,-1,1,7.067846174024604e-11,0.9999999999293223,0.0
2,0,0,4,3,0,0,112,2018,5,4,4,0,0,0,101.58,1,1,-1,1,9.303609560567851e-16,1.0,0.0
2,0,1,2,3,0,0,88,2018,4,8,4,0,0,0,58.9,1,1,-1,1,7.723662209579277e-16,1.0,0.0
2,0,0,1,0,0,0,56,2018,6,8,3,0,0,0,120.0,0,1,22,0,1.0587852242790027e-11,0.9999999999894129,0.0
2,0,2,3,0,0,3,73,2018,4,7,4,0,0,0,107.1,0,0,-1,1,1.0,0.0,0.0
2,0,1,1,0,0,0,80,2018,5,2,4,0,0,0,126.9,1,1,-1,1,5.1177327132035907e-11,0.9999999999488232,0.0
2,0,0,3,0,0,3,130,2018,9,29,4,0,0,0,139.5,2,0,23,0,1.0,0.0,0.0
2,0,1,3,3,0,0,69,2018,4,4,4,0,0,0,80.75,1,1,-1,1,9.447289809631452e-16,1.0,0.0
2,0,0,2,1,0,0,273,2017,7,17,4,0,0,0,109.0,0,0,24,0,8.401772381509656e-16,1.0,0.0
2,0,0,1,1,0,0,55,2018,4,6,3,0,0,0,104.0,0,1,12,0,3.587933642330577e-12,0.9999999999964118,0.0
1,0,0,3,0,0,0,4,2018,11,1,2,1,1,5,65.0,1,1,-1,1,0.0,0.0,1.0
2,0,0,3,0,0,3,97,2018,5,24,4,0,0,0,140.4,0,1,-1,1,1.0,0.0,0.0
2,0,0,3,0,0,0,44,2018,2,17,3,0,0,0,75.0,0,1,25,0,1.2442048419854843e-11,0.9999999999875584,0.0
2,0,0,1,3,0,0,31,2018,4,14,4,0,0,0,94.5,0,0,-1,1,6.321418402722388e-16,1.0,0.0
2,0,1,0,3,0,0,0,2018,6,5,4,0,0,0,109.0,0,1,-1,1,5.103082024627553e-16,1.0,0.0
2,0,2,2,0,0,0,62,2018,11,12,4,0,0,0,105.0,2,1,-1,1,7.70970473461445e-11,0.9999999999229026,0.0
2,0,2,2,0,0,3,86,2018,4,17,4,0,0,0,107.95,1,1,-1,1,1.0,0.0,0.0
2,0,1,1,3,0,0,197,2018,8,1,4,0,0,0,85.5,1,1,-1,1,3.034053857523138e-16,1.0,0.0
2,0,0,2,0,0,0,143,2018,7,12,4,0,0,0,105.3,2,1,-1,1,9.469629787748103e-11,0.9999999999053024,0.0
2,0,0,2,0,0,3,8,2018,6,15,4,0,0,0,156.0,0,0,-1,1,1.0,0.0,0.0
1,0,0,2,0,0,0,13,2018,11,16,4,0,0,0,73.15,1,1,-1,1,2.796945212548402e-11,0.9999999999720295,0.0
2,0,1,2,0,0,0,280,2018,9,19,4,0,0,0,110.0,0,0,26,0,3.6467030685126785e-12,0.9999999999963549,0.0
2,1,1,0,3,0,0,11,2017,9,13,4,0,0,0,87.4,1,1,-1,1,1.0,0.0,0.0
2,0,1,2,3,0,0,185,2018,12,16,4,0,0,0,79.2,0,0,27,0,3.944877890550789e-16,1.0,0.0
2,0,1,3,0,0,0,160,2018,6,30,4,0,0,0,90.95,1,1,-1,1,4.6562019444398404e-11,0.9999999999534381,0.0
2,0,0,4,0,0,0,104,2018,10,18,4,0,0,0,91.48,1,1,-1,1,6.387467495782338e-11,0.9999999999361258,0.0
2,1,0,1,0,0,0,11,2018,11,5,4,0,0,0,150.0,1,0,28,0,1.0,0.0,0.0
2,0,0,1,3,0,0,2,2018,3,22,4,0,0,0,89.0,0,1,-1,1,5.546274057202246e-16,1.0,0.0
2,0,1,4,3,0,0,14,2018,8,17,4,0,0,0,91.43,1,1,-1,1,4.506106396715119e-16,1.0,0.0
2,0,0,2,0,0,0,22,2018,5,20,3,0,0,0,140.0,0,1,29,0,1.4899108982195206e-11,0.9999999999850999,0.0
1,1,2,5,3,0,0,37,2017,10,24,4,0,0,0,87.78,0,1,-1,1,1.0,0.0,0.0
2,0,0,3,0,0,0,11,2017,9,9,4,0,0,0,80.85,1,1,-1,1,5.0187098707867015e-12,0.99999999999498,0.0
2,0,1,3,0,0,0,86,2018,3,31,4,0,0,0,82.45,1,1,-1,1,6.162090965457753e-11,0.9999999999383782,0.0
2,0,0,1,3,0,0,109,2018,10,11,4,0,0,0,108.0,0,0,30,0,5.295770004425188e-16,1.0,0.0
2,0,1,1,0,0,3,72,2018,4,2,4,0,0,0,96.3,1,1,-1,1,1.0,0.0,0.0
2,0,1,5,0,0,0,196,2018,8,22,4,0,0,0,99.45,0,0,-1,1,3.876363072032816e-11,0.9999999999612363,0.0
2,0,0,2,0,0,3,56,2018,5,13,4,0,0,0,140.4,1,1,-1,1,1.0,0.0,0.0
2,0,1,3,0,0,0,189,2018,8,8,3,0,0,0,72.25,0,1,31,0,5.801222291694541e-12,0.9999999999941984,0.0
2,0,1,4,0,0,3,126,2018,8,15,4,0,0,0,126.0,0,1,-1,1,1.0,0.0,0.0
1,0,2,2,0,0,3,81,2018,11,6,4,0,0,0,146.6,1,1,32,0,1.0,0.0,0.0
2,0,1,2,0,0,0,54,2018,10,10,4,0,0,0,118.8,0,0,-1,1,5.970958421321644e-11,0.9999999999402895,0.0
1,0,0,1,0,0,0,15,2018,10,6,4,0,0,0,145.0,0,0,-1,1,1.8334823383382325e-11,0.9999999999816644,0.0
2,0,0,4,0,0,0,86,2018,4,6,4,0,0,0,84.58,0,0,-1,1,6.120007819135513e-11,0.999999999938801,0.0
2,0,1,2,1,0,0,161,2018,3,25,4,0,0,0,130.0,0,0,33,0,4.827946599414329e-12,0.9999999999951719,0.0
2,0,4,10,0,0,3,147,2018,8,3,4,0,0,0,118.88,1,0,-1,1,1.0,0.0,0.0
2,0,1,2,0,0,0,92,2018,5,30,3,0,0,0,101.52,0,1,-1,1,1.0103258734466863e-11,0.9999999999898961,0.0
2,0,0,1,0,0,0,87,2017,9,11,2,0,0,0,100.0,0,0,-1,1,6.999709130796946e-15,0.9999999999999929,0.0
2,0,2,1,0,0,0,109,2018,3,20,3,0,0,0,58.0,0,1,-1,1,1.059809399486986e-11,0.9999999999894023,0.0
2,0,0,4,0,0,0,127,2018,3,23,3,0,0,0,61.5,2,1,-1,1,8.350930462282552e-11,0.9999999999164899,0.0
2,0,1,4,3,0,0,156,2018,8,24,4,0,0,0,87.3,1,1,-1,1,8.466514098186124e-16,1.0,0.0
2,0,0,2,0,0,0,80,2017,7,16,4,0,0,0,76.5,1,0,-1,1,2.8743888888857004e-12,0.9999999999971259,0.0
2,0,2,2,3,0,0,211,2018,12,16,4,0,0,0,63.75,0,0,-1,1,3.6735837112859467e-16,1.0,0.0
2,0,1,2,0,0,0,273,2018,5,13,4,0,0,0,95.0,0,0,34,0,1.7593603088782667e-12,0.9999999999982414,0.0
2,0,2,1,0,0,0,58,2018,11,19,3,0,0,0,75.0,1,1,-1,1,2.6043326074920797e-11,0.9999999999739551,0.0
2,0,1,3,0,0,0,111,2018,5,2,4,0,0,0,101.58,1,1,-1,1,4.592139572676903e-11,0.9999999999540776,0.0
2,0,2,3,0,0,0,34,2018,8,21,3,0,0,0,85.0,0,1,-1,1,1.9458093543233077e-11,0.9999999999805418,0.0
2,0,2,4,0,0,0,17,2018,12,3,4,0,0,0,98.39,0,1,-1,1,3.040898523920658e-11,0.9999999999695923,0.0
2,0,0,3,0,0,0,6,2017,9,22,4,0,0,0,106.07,1,1,-1,1,3.052854283987721e-12,0.9999999999969482,0.0
2,0,1,1,0,0,0,32,2018,7,18,3,0,0,0,105.0,1,1,-1,1,2.4271443608565336e-11,0.9999999999757279,0.0
2,0,0,1,0,0,0,4,2017,9,22,4,0,0,0,145.0,2,1,-1,1,2.8487706540809333e-12,0.9999999999971507,0.0
3,0,2,1,0,0,0,195,2018,8,13,4,0,0,0,106.03,1,0,-1,1,1.2261430309697642e-10,0.9999999998773852,0.0
2,0,2,2,0,0,0,119,2018,8,13,4,0,0,0,114.3,1,1,-1,1,4.775394214258925e-11,0.9999999999522444,0.0
1,0,1,1,3,0,0,13,2018,12,5,4,0,0,0,88.0,0,1,-1,1,1.8922664001413556e-16,1.0,0.0
2,0,0,2,0,0,0,59,2017,10,15,4,0,0,0,89.25,2,1,-1,1,7.286437557777446e-12,0.9999999999927134,0.0
2,1,2,5,0,0,3,78,2018,3,20,4,0,0,0,86.32,1,1,-1,1,1.0,0.0,0.0
2,0,2,5,0,0,0,103,2017,8,22,4,0,0,0,55.96,0,1,-1,1,8.439780731192818e-12,0.9999999999915588,0.0
1,0,0,2,3,0,0,0,2018,6,8,4,0,0,0,109.0,1,1,-1,1,6.143527135375067e-16,1.0,0.0
2,0,0,1,0,0,0,118,2018,3,1,3,0,0,0,86.0,0,1,-1,1,4.527889398498582e-12,0.9999999999954738,0.0
2,0,1,5,0,0,0,56,2018,9,5,4,0,0,0,118.95,0,1,-1,1,8.841412294826103e-11,0.9999999999115872,0.0
2,0,0,2,0,0,0,107,2018,6,10,3,0,0,0,130.0,1,1,35,0,8.357082961366006e-12,0.999999999991644,0.0
2,0,1,3,3,0,0,70,2018,4,14,4,0,0,0,90.56,1,1,-1,1,9.275545962630014e-16,1.0,0.0
2,0,0,2,0,0,0,76,2018,4,1,4,0,0,0,87.3,1,1,-1,1,6.467668488832073e-11,0.9999999999353228,0.0
2,2,2,2,0,0,5,144,2018,5,27,4,0,0,0,177.65,1,0,-1,1,1.0,0.0,0.0
2,1,0,2,0,0,0,15,2018,3,18,4,0,0,0,127.0,1,1,-1,1,1.0,0.0,0.0
1,0,1,2,0,0,0,32,2018,2,5,4,0,0,0,72.9,0,0,-1,1,5.4292913093892595e-11,0.9999999999457074,0.0
3,0,1,1,0,0,3,49,2018,5,7,4,0,0,0,159.3,0,0,-1,1,1.0,0.0,0.0
2,1,1,3,0,0,0,77,2018,5,12,4,0,0,0,135.15,1,1,-1,1,1.0,0.0,0.0
1,0,0,2,0,0,0,22,2018,10,28,3,0,0,0,90.0,0,1,-1,1,1.2988334379554987e-11,0.9999999999870113,0.0
